1.A.11.1.1	ammonium|ammonia
3.D.4.2.1	hydron|dioxygen
3.D.4.3.1	hydron
3.D.4.3.3	hydron|proton
3.D.4.4.2	hydron
3.D.4.4.3	hydron
3.D.4.4.4	hydron
3.D.4.6.1	hydron
3.D.5.1.1	sodium(1+)
3.D.6.1.2	hydron
3.D.6.1.3	hydron
3.D.7.1.1	hydron
3.D.7.1.3	electron
3.D.7.2.2	hydron
3.D.8.1.1	hydron
3.D.8.1.2	hydron
3.D.9.1.1	hydron
3.D.9.1.2	proton
3.E.1.5.1	hydron
4.A.1.1.1	D-glucopyranose
4.A.1.1.2	N-acetyl-beta-D-glucosamine
4.A.2.1.17	fructose
4.A.2.1.26	fructose
4.A.2.1.27	D-mannitol
4.A.2.1.4	fructose
4.A.2.1.7	xylitol|fructose
4.A.6.1.29	glucosamine|N-acetyl-beta-D-glucosamine|N-acetyl-D-mannosamine|glucose|D-mannopyranose|fructose
4.B.1.1.1	N-glycosylnicotinamide
4.B.1.1.4	thiamine(1+)
4.C.1.1.10	fatty acid
4.C.1.1.14	fatty acid
4.C.1.1.16	fatty acid
4.C.1.1.17	fatty acid
4.C.1.1.1	fatty acid
4.C.1.1.4	fatty acid
4.C.1.1.5	fatty acid
4.C.1.1.6	(E)-4-(trimethylammonio)but-2-enoate|carnitinium
4.C.1.1.7	fatty acid
4.D.1.1.1	lipopolysaccharide
4.D.1.1.2	glycosyl group
4.D.1.1.3	UDP-N-acetyl-alpha-D-glucosamine|N-acetyl-beta-D-glucosamine
4.D.1.3.1	glycosyl group
4.D.1.3.2	glycosyl group
4.D.1.3.3	glycosyl group
4.D.1.3.4	glycosyl group
4.D.1.4.3	D-glucosyl group
4.D.2.1.6	glycosyl group
4.D.3.1.10	glycosyl group
4.D.3.1.5	(1->4)-beta-D-glucan
4.D.3.1.6	(1->4)-beta-D-glucan
4.F.1.1.7	phosphate(3-)
4.F.1.3.1	phosphate(3-)
4.F.1.3.2	phosphate(3-)
4.F.1.3.4	phosphate(3-)
5.A.1.2.1	electron
5.A.1.2.3	electron
5.A.1.2.4	electron
5.A.1.2.7	electron
5.A.1.2.9	carbohydrate|electron
5.A.3.10.1	electron
5.A.3.11.2	electron
5.A.3.2.1	electron
5.A.3.3.1	electron
5.A.3.3.2	electron
5.A.3.4.2	electron
5.A.3.5.1	electron
5.A.3.5.2	electron
5.A.3.8.1	electron
5.A.3.8.2	electron
5.B.11.1.1	electron
5.B.1.1.7	electron
5.B.12.1.1	electron
5.B.13.1.1	electron
5.B.1.3.1	electron
5.B.1.3.2	electron
5.B.14.1.1	electron
5.B.3.1.1	electron
5.B.8.1.1	electron
5.B.8.1.3	electron
8.A.51.1.3	dipeptide
9.A.24.1.7	cholesterol|porphyrin
9.A.47.2.1	protein polypeptide chain
9.A.50.1.1	transfer RNA
9.A.63.1.1	protein polypeptide chain
9.A.8.1.11	iron(2+)
9.A.8.1.13	iron(2+)
9.A.8.1.14	iron(2+)
9.A.8.1.17	iron(2+)
9.A.8.1.1	iron(2+)
9.A.8.1.2	iron(2+)
9.A.8.1.3	iron(2+)
9.A.8.1.4	iron(2+)
9.A.8.1.8	iron(2+)
9.A.8.1.9	iron(2+)
9.B.10.1.1	zinc(2+)
9.B.104.1.4	serine
9.B.109.1.1	molecule
9.B.109.1.3	molecule
9.B.1.1.2	dimethylallyl-UTP
9.B.1.1.3	dimethylallyl-UTP
9.B.114.1.1	vancomycin
9.B.1.1.6	protein polypeptide chain
9.B.142.2.8	lipopolysaccharide|4-amino-4-deoxy-L-arabinose
9.B.14.2.5	ferroheme b
9.B.14.3.6	magnesium(2+)
9.B.14.3.7	ferroheme b
9.B.14.3.8	ferroheme b
9.B.157.1.1	folic acid
9.B.20.1.4	magnesium(2+)
9.B.27.1.2	selenite(2-)
9.B.27.2.11	hydron
9.B.27.2.3	selenite(2-)
9.B.280.1.1	methane
9.B.31.1.1	sn-glycerol 3-phosphate
9.B.355.1.1	protein
9.B.42.1.1	protein polypeptide chain
9.B.43.1.1	electron
9.B.62.1.2	copper(2+)
9.B.62.1.5	copper(2+)
9.B.62.2.1	copper(2+)
9.B.70.1.1	protein
