      1 1.A.11.1.1	ammonium|ammonia
     50 3.A.23.1.1	protein polypeptide chain|deoxyribonucleic acid
     16 3.A.2.3.1	hydron
      4 3.A.23.2.1	protein polypeptide chain|deoxyribonucleic acid
     52 3.A.2.3.2	sodium(1+)|hydron
      2 3.A.2.3.3	hydron
      1 3.A.23.4.1	protein polypeptide chain|deoxyribonucleic acid
      1 3.A.24.5.1	protein polypeptide chain
      3 3.A.25.1.1	peptide
     15 3.A.25.2.1	peptide
      2 3.A.26.1.1	protein polypeptide chain
      2 3.A.29.1.2	protein
      8 3.A.30.1.1	protein
     36 3.A.31.1.1	protein
      8 3.A.3.2.21	calcium(2+)
      6 3.A.3.2.29	calcium(2+)
      2 3.A.3.2.46	calcium ion
      5 3.A.3.2.4	calcium(2+)
      1 3.A.3.27.1	cation
      1 3.A.3.27.3	cation
      1 3.A.3.27.7	cation
      3 3.A.3.5.10	copper(1+)|silver(1+)
      7 3.A.3.5.18	copper(1+)
      1 3.A.3.5.19	lead(2+)|copper(2+)|iron(2+)
      2 3.A.3.5.26	copper(1+)
     15 3.A.3.5.27	copper(1+)
      1 3.A.3.5.34	copper(1+)
      1 3.A.3.5.39	cadmium(2+)|copper(1+)|zinc ion
      1 3.A.3.5.7	copper(1+)|silver(1+)
      3 3.A.3.6.1	cadmium(2+)|lead(2+)|zinc(2+)|hydron
      1 3.A.3.6.8	cadmium(2+)
      8 3.A.5.1.1	protein polypeptide chain
      2 3.A.5.1.3	protein polypeptide chain
      2 3.A.5.2.2	protein polypeptide chain
      1 3.A.5.4.1	protein polypeptide chain
     84 3.A.5.7.2	protein polypeptide chain
      1 3.A.5.8.1	protein
      6 3.A.5.9.1	protein polypeptide chain
      3 3.A.6.1.1	protein polypeptide chain
      1 3.A.6.1.3	protein polypeptide chain
      8 3.A.6.2.1	protein
      2 3.A.6.3.1	protein polypeptide chain
      6 3.A.7.11.1	deoxyribonucleic acid
      1 3.A.7.13.2	protein polypeptide chain
      1 3.A.7.14.2	deoxyribonucleic acid
     12 3.A.7.15.1	protein polypeptide chain
      2 3.A.7.16.1	protein|deoxyribonucleic acid
     41 3.A.7.18.1	toxin
      5 3.A.7.19.1	deoxyribonucleic acid
      1 3.A.7.2.1	protein polypeptide chain
      1 3.A.7.4.2	protein polypeptide chain
      2 3.A.7.7.1	deoxyribonucleic acid
      4 3.A.8.1.1	protein polypeptide chain
     45 3.A.9.1.1	protein polypeptide chain
     10 3.A.9.1.2	protein polypeptide chain
      1 3.B.1.1.1	sodium(1+)
      5 3.B.1.1.2	sodium(1+)
     40 3.B.1.1.5	sodium(1+)
      1 3.B.1.1.6	sodium(1+)
      1 3.B.1.1.7	sodium(1+)
      4 3.C.1.1.1	sodium(1+)
      1 3.D.10.1.1	succinate(2-)|fumarate(2-)|menaquinone
     96 3.D.10.1.4	succinate(2-)|1,4-benzoquinone
      3 3.D.10.1.5	fumarate(2-)|menaquinone
      6 3.D.10.1.6	hydron
      1 3.D.10.1.8	hydron|fumarate(2-)|hydroquinone|electron
     12 3.D.1.2.1	hydron
     16 3.D.1.3.1	hydron
      3 3.D.1.4.1	hydron
     24 3.D.1.5.1	hydron
     23 3.D.1.6.1	hydron
      4 3.D.1.6.2	hydron
      1 3.D.1.6.4	hydron
     55 3.D.1.8.1	hydron
     70 3.D.1.8.2	proton
      7 3.D.1.9.2	hydron
      4 3.D.2.1.1	hydron
      6 3.D.2.2.1	hydron
      7 3.D.2.2.2	hydron
      2 3.D.2.3.1	hydron
      1 3.D.3.3.1	hydron
      1 3.D.3.4.1	hydron
      3 3.D.3.5.1	hydron
     13 3.D.3.5.3	hydron
      1 3.D.3.5.6	hydron|electron
      3 3.D.4.10.1	hydron
      1 3.D.4.10.2	hydron
      1 3.D.4.10.3	hydron
      2 3.D.4.11.1	hydron
      1 3.D.4.2.1	hydron|dioxygen
      5 3.D.4.3.1	hydron
      1 3.D.4.3.3	hydron|proton
      2 3.D.4.4.2	hydron
      2 3.D.4.4.3	hydron
      9 3.D.4.4.4	hydron
     12 3.D.4.6.1	hydron
      3 3.D.5.1.1	sodium(1+)
      1 3.D.6.1.2	hydron
      2 3.D.6.1.3	hydron
      9 3.D.7.1.1	hydron
      4 3.D.7.1.3	electron
      1 3.D.7.2.2	hydron
      3 3.D.8.1.1	hydron
      2 3.D.8.1.2	hydron
     56 3.D.9.1.1	hydron
     37 3.D.9.1.2	proton
      1 3.E.1.5.1	hydron
      1 4.A.1.1.1	D-glucopyranose
      1 4.A.1.1.2	N-acetyl-beta-D-glucosamine
      1 4.A.2.1.17	fructose
      2 4.A.2.1.26	fructose
      1 4.A.2.1.27	D-mannitol
      3 4.A.2.1.4	fructose
      4 4.A.2.1.7	xylitol|fructose
      1 4.A.6.1.29	glucosamine|N-acetyl-beta-D-glucosamine|N-acetyl-D-mannosamine|glucose|D-mannopyranose|fructose
      1 4.B.1.1.1	N-glycosylnicotinamide
      1 4.B.1.1.4	thiamine(1+)
      2 4.C.1.1.10	fatty acid
      3 4.C.1.1.14	fatty acid
      4 4.C.1.1.16	fatty acid
      1 4.C.1.1.17	fatty acid
      1 4.C.1.1.1	fatty acid
     15 4.C.1.1.4	fatty acid
      1 4.C.1.1.5	fatty acid
     28 4.C.1.1.6	(E)-4-(trimethylammonio)but-2-enoate|carnitinium
     14 4.C.1.1.7	fatty acid
      3 4.D.1.1.1	lipopolysaccharide
      6 4.D.1.1.2	glycosyl group
     18 4.D.1.1.3	UDP-N-acetyl-alpha-D-glucosamine|N-acetyl-beta-D-glucosamine
      1 4.D.1.3.1	glycosyl group
      2 4.D.1.3.2	glycosyl group
     11 4.D.1.3.3	glycosyl group
      5 4.D.1.3.4	glycosyl group
      1 4.D.1.4.3	D-glucosyl group
     11 4.D.2.1.6	glycosyl group
     35 4.D.3.1.10	glycosyl group
      1 4.D.3.1.5	(1->4)-beta-D-glucan
      2 4.D.3.1.6	(1->4)-beta-D-glucan
      1 4.F.1.1.7	phosphate(3-)
     22 4.F.1.3.1	phosphate(3-)
     11 4.F.1.3.2	phosphate(3-)
      1 4.F.1.3.4	phosphate(3-)
     12 5.A.1.2.1	electron
      1 5.A.1.2.3	electron
      1 5.A.1.2.4	electron
      8 5.A.1.2.7	electron
     18 5.A.1.2.9	carbohydrate|electron
      1 5.A.3.10.1	electron
      2 5.A.3.11.2	electron
      1 5.A.3.2.1	electron
      3 5.A.3.3.1	electron
      2 5.A.3.3.2	electron
      1 5.A.3.4.2	electron
      1 5.A.3.5.1	electron
      2 5.A.3.5.2	electron
      2 5.A.3.8.1	electron
      1 5.A.3.8.2	electron
      1 5.B.11.1.1	electron
      3 5.B.1.1.7	electron
      1 5.B.12.1.1	electron
      1 5.B.13.1.1	electron
      2 5.B.1.3.1	electron
      3 5.B.1.3.2	electron
     76 5.B.14.1.1	electron
      4 5.B.3.1.1	electron
      1 5.B.8.1.1	electron
      1 5.B.8.1.3	electron
      4 8.A.51.1.3	dipeptide
      1 9.A.24.1.7	cholesterol|porphyrin
     11 9.A.47.2.1	protein polypeptide chain
      2 9.A.50.1.1	transfer RNA
      6 9.A.63.1.1	protein polypeptide chain
      1 9.A.8.1.11	iron(2+)
      1 9.A.8.1.13	iron(2+)
      3 9.A.8.1.14	iron(2+)
      2 9.A.8.1.17	iron(2+)
      1 9.A.8.1.1	iron(2+)
      3 9.A.8.1.2	iron(2+)
      2 9.A.8.1.3	iron(2+)
      1 9.A.8.1.4	iron(2+)
      6 9.A.8.1.8	iron(2+)
      9 9.A.8.1.9	iron(2+)
      3 9.B.10.1.1	zinc(2+)
      3 9.B.104.1.4	serine
      9 9.B.109.1.1	molecule
      1 9.B.109.1.3	molecule
      1 9.B.1.1.2	dimethylallyl-UTP
      1 9.B.1.1.3	dimethylallyl-UTP
      1 9.B.114.1.1	vancomycin
      1 9.B.1.1.6	protein polypeptide chain
      1 9.B.142.2.8	lipopolysaccharide|4-amino-4-deoxy-L-arabinose
      3 9.B.14.2.5	ferroheme b
      1 9.B.14.3.6	magnesium(2+)
      1 9.B.14.3.7	ferroheme b
      2 9.B.14.3.8	ferroheme b
      1 9.B.157.1.1	folic acid
      2 9.B.20.1.4	magnesium(2+)
      2 9.B.27.1.2	selenite(2-)
      2 9.B.27.2.11	hydron
      2 9.B.27.2.3	selenite(2-)
      7 9.B.280.1.1	methane
      1 9.B.31.1.1	sn-glycerol 3-phosphate
      1 9.B.355.1.1	protein
      2 9.B.42.1.1	protein polypeptide chain
      1 9.B.43.1.1	electron
      6 9.B.62.1.2	copper(2+)
      3 9.B.62.1.5	copper(2+)
      1 9.B.62.2.1	copper(2+)
      2 9.B.70.1.1	protein
