NDEV_0865	K01491
T478_0377	K00759
T478_0375	K00772
NSED_07730	K03166
NADRNF5_0472	K03167
NPIRD3C_2070	K06961
NMSP_0335	K07178
CENSYa_0779	K03236
NADRNF5_0469	K09148
NMSP_0333	K03238
T478_0361	K08975
NADRNF5_0463	K15888
NADRNF5_0461	K01591
T478_0356	K01939
NSED_07825	K07566
NPIRD3C_2094	K06963
NMSP_0316	K02962
T478_0346	K03424
NMSP_0314	K24450
NKOR_07930	K00946
T478_0332	K02948
T478_0330	K14415
T478_0330	K14415
NSED_00335	K00059
NSED_00890	K09141
NDEV_0282	K06990
NSED_00895	K04069
NPIRD3C_1909	K01170
SU86_003755	K02866
NSED_02310	K03455
T478_0412	K00858
NPIRD3C_1921	K07060
Nmar_0437	K10848
T478_0409	K04798
NSED_02255	K02921
SU86_003885	K12589
T478_0405	K11600
T478_0404	K03679
NKOR_02145	K03679
T478_0404	K03679
NSED_02240	K03679
T478_0403	K14574
SU86_003905	K03047
SU86_003910	K02883
CENSYa_1490	K02871
NSED_02210	K02996
Nmar_0421	K01704
SU86_003945	K01703
T478_1101	K00175
SU86_003975	K00174
T478_1102	K00174
Desgi_2637	K01897
SCLO_1025900	K01092
CC1_03890	K22024
NVIE_015850	K23359
NVIE_015910	K23536
NVIE_015920	K23535
NVIE_015930	K23537
NVIE_015900	K07335
Desde_0781	K02381
OCC_00232	K00926
NADRNF5_2160	K06937
NSED_00270	K23356
NADRNF5_2162	K03709
T478_0121	K06965
T478_0122	K03926
SU86_005625	K00609
T478_1367	K00610
NDEV_1999	K02123
NSED_05780	K01845
T478_0578	K01845
SU86_001075	K02503
NPIRD3C_1132	K15016
NPIRD3C_1124	K03059
NMSP_0599	K02946
NPIRD3C_1122	K03231
NADRNF5_0895	K01622
NADRNF5_0895	K01622
NADRNF5_0892	K10747
T478_0867	K01170
T478_0870	K07090
NDEV_0734	K09005
NADRNF5_0873	K21929
NPIRD3C_1057	K03652
T478_0883	K02031
NKOR_06405	K09759
NKOR_06420	K00052
T478_0886	K01649
Nmar_1071	K01653
T478_0888	K01652
NKOR_06450	K08321
T478_0891	K00008
NPIRD3C_1035	K06953
SU86_000675	K12196
SU86_000645	K07463
SU86_000645	K07463
SU86_002220	K00764
T478_0687	K23269
Nmar_0779	K23265
NPIRD3C_1446	K23264
T478_0794	K01937
T478_0792	K01695
T478_0791	K01696
SU86_001570	K01609
T478_0789	K00766
T478_0788	K01658
NDEV_1128	K01657
T478_0785	K01687
Nmar_0883	K02503
NSED_04950	K03265
NSED_04875	K09759
SU86_001715	K06863
Glov_3401	K04034
NADRNF5_2117	K18430
T478_0191	K13010
SU86_007100	K07257
T478_0205	K14260
T478_0207	K06988
NADRNF5_2099	K15634
T478_0210	K02275
T478_0211	K02274
NADRNF5_2095	K00368
NADRNF5_1987	K01755
NADRNF5_1989	K00240
NADRNF5_1990	K00242
SU86_007965	K00241
T478_1194	K00239
SU86_007935	K03622
Nmar_0144	K00662
Nmar_0141	K01897
FAES_0746	K00477
NSED_01225	K02492
NPIRD3C_0660	K04800
NPIRD3C_0658	K01092
T478_0218	K00826
NADRNF5_2066	K00928
NSED_06610	K05592
T478_0938	K02626
T478_0937	K08602
T478_0940	K03564
NSED_00455	K03183
CENSYa_0108	K02927
T478_0927	K01902
SU86_000385	K01903
T478_0924	K01870
SU86_006110	K12410
Nmar_1119	K01945
NPIRD3C_0970	K01934
NPIRD3C_0971	K01491
T478_1050	K05827
Nmar_1296	K05831
NADRNF5_0659	K20215
T478_1054	K14656
NSED_07210	K07732
Nmar_1302	K02316
T478_1056	K13628
T478_1057	K15019
NADRNF5_0651	K18594
T478_1059	K00260
NPIRD3C_0921	K07006
T478_1061	K03432
T478_1062	K03183
T478_1065	K03116
Nmar_1319	K00571
NKOR_07485	K03163
SU86_004220	K13798
CENSYa_1567	K13798
NPIRD3C_0752	K03041
Nmar_0352	K02908
NADRNF5_1899	K02600
CENSYa_0445	K02950
NKOR_01630	K02992
T478_1140	K06940
SU86_004160	K01869
T478_1138	K01872
T478_1483	K11105
NPIRD3C_0281	K03124
T478_0017	K05802
T478_0015	K00948
NSED_09515	K00784
SU86_006120	K09736
NADRNF5_0086	K01975
SU86_006135	K07558
SU86_006140	K07176
Nmar_1789	K09723
T478_1493	K01915
T478_1495	K22447
T478_0997	K06878
T478_0996	K03120
T478_0994	K01265
NADRNF5_1534	K09140
T478_0976	K03294
NKOR_03205	K11212
NPIRD3C_1642	K14941
NPIRD3C_1645	K03113
NPIRD3C_1646	K07143
NADRNF5_1531	K08979
NSED_02465	K02303
T478_0444	K01719
Nmar_0495	K09014
T478_0446	K09015
T478_0448	K11717
T478_0449	K04488
NADRNF5_1688	K00927
T478_0515	K07304
CENSYa_1398	K07466
T478_0461	K01698
Nmar_0510	K02492
SU86_003565	K24866
T478_0462	K22225
T478_0382	K09013
T478_0383	K03124
T478_1006	K01933
NMSP_1088	K06869
NPIRD3C_1668	K07301
NPIRD3C_1666	K11781
SU86_003150	K11780
NKOR_01900	K07342
NADRNF5_1791	K09716
NDEV_0336	K00567
NMSP_1335	K02885
NADRNF5_1788	K02912
T478_1123	K01610
T478_1124	K14647
NMSP_1332	K14647
T478_1121	K04564
T478_1120	K04797
NSED_01910	K03110
NPIRD3C_1969	K00611
NKOR_01970	K02881
NADRNF5_1780	K02988
T478_1115	K02907
SU86_004035	K02876
NPIRD3C_1964	K03076
T478_1112	K00939
SU86_004015	K00945
NADRNF5_1773	K11131
NMSP_0424	K02877
T478_1025	K00058
T478_1026	K00368
T478_1027	K01744
Nmar_1261	K15865
T478_1029	K03531
T478_0834	K07305
NPIRD3C_1550	K00003
T478_0837	K03433
NKOR_03560	K17758
SU86_002740	K07442
T478_0875	K01887
SU86_002170	K09142
NSED_04495	K03432
NKOR_04490	K00639
T478_0725	K01012
T478_0726	K00833
T478_0726	K00833
NKOR_04525	K01935
NPIRD3C_1374	K01641
NKOR_04585	K00150
T478_0732	K03699
T478_0733	K01733
NPIRD3C_1684	K07739
NADRNF5_1585	K04566
NPIRD3C_1688	K07006
SU86_003280	K09866
T478_0488	K03564
NDEV_1912	K01733
SU86_004630	K07561
NPIRD3C_0489	K07573
Nmar_1567	K04518
NPIRD3C_0486	K00088
NSED_00655	K00796
NDEV_1939	K07142
NMSP_0197	K06932
NADRNF5_0331	K00054
NPIRD3C_0091	K00765
T478_1289	K00013
T478_1290	K00817
NSED_00730	K01693
NADRNF5_0337	K02501
NMSP_0207	K01814
NDEV_1945	K01486
T478_1303	K02929
NMSP_0179	K02978
Nmar_1581	K19712
Nmar_1582	K02233
NPIRD3C_0473	K02227
T478_1308	K02232
T478_1309	K04720
SU86_004740	K00133
T478_0583	K03124
NPIRD3C_1164	K03524
T478_1081	K17828
T478_1080	K02823
NADRNF5_0493	K02983
NPIRD3C_2047	K04483
CENSYa_0466	K02889
NKOR_07670	K07572
NADRNF5_0490	K17828
SU86_001870	K01768
NSED_05245	K02548
SU86_001390	K01493
T478_0639	K02319
Nmar_0948	K02319
T478_0638	K15383
SU86_003335	K00014
NMSP_1122	K00891
SU86_003345	K00800
T478_0472	K01736
NSED_02765	K00812
NKOR_08580	K01486
Nmar_1577	K22447
SU86_004690	K00847
NPIRD3C_0479	K00847
NSED_00640	K01951
NADRNF5_1277	K02933
T478_0703	K02994
NADRNF5_1274	K02931
NPIRD3C_1423	K02987
NSED_04435	K02895
CENSYa_0867	K02874
T478_0709	K02961
NDEV_0935	K02904
NKOR_04425	K02982
NMSP_0761	K02890
NKOR_04435	K02965
Nmar_0807	K02892
NDEV_0930	K02930
NKOR_04445	K02930
SU86_002165	K02906
Nmar_0810	K09142
NKOR_06635	K11175
SU86_000575	K07005
Nmar_1109	K14728
T478_0904	K07462
NMSP_0516	K18602
NMSP_0515	K11529
T478_0906	K01647
Nmar_0555	K03182
NKOR_02870	K11784
Nmar_0955	K07588
T478_0628	K01848
T478_0628	K01848
T478_0636	K01006
T478_0637	K01803
T478_0638	K15383
T478_1483	K11105
SU86_006415	K10026
SU86_003400	K15635
T478_1092	K09763
NKOR_02760	K02977
SU86_003425	K07583
NMSP_1143	K03106
T478_0394	K03106
NSED_02670	K06927
SU86_003440	K03263
T478_0482	K11784
T478_0480	K16306
NSED_02800	K11646
NPIRD3C_1723	K03785
NSED_02795	K03785
Nmar_0550	K00014
NPIRD3C_1545	K01895
NPIRD3C_0085	K01814
T478_1295	K02500
NPIRD3C_0083	K01496
NMSP_0211	K01733
T478_1049	K05826
NMSP_1151	K13953
T478_1497	K00600
NADRNF5_0075	K22447
NSED_05670	K06929
NKOR_05545	K06942
T478_0825	K01883
T478_0825	K01883
NSED_05565	K01916
SU86_003490	K05896
NKOR_02690	K06024
NKOR_02685	K02995
T478_0385	K03105
SU86_000215	K06888
T478_0523	K06888
NSED_03640	K04799
T478_0278	K01737
NMSP_1148	K03704
NADRNF5_1440	K01895
T478_1134	K02864
T478_1133	K02863
NKOR_01795	K03718
CENSYa_0344	K02867
T478_1132	K02867
NDEV_0330	K02601
NSED_04355	K01923
T478_0694	K09738
NADRNF5_0681	K02910
SU86_009160	K02924
T478_1019	K03546
SU86_003395	K00965
NPIRD3C_1736	K00621
NADRNF5_1640	K00966
T478_1497	K00600
T478_1495	K22447
T478_1493	K01915
NDEV_0012	K09723
SU86_006140	K07176
SU86_006135	K07558
NADRNF5_0086	K01975
SU86_006120	K09736
SU86_006105	K00784
T478_0015	K00948
T478_0017	K05802
NPIRD3C_0281	K03124
T478_1483	K11105
NADRNF5_0031	K10026
NKOR_09775	K01495
Nmar_0040	K06920
NPIRD3C_0302	K00872
T478_0039	K07027
T478_0041	K07124
NDEV_0067	K00390
NSED_09875	K00958
RSJ17_20905	K02242
ID47_04225	K04096
NADRNF5_0015	K10773
T478_0051	K09128
T478_0053	K02191
NADRNF5_0009	K03394
NDEV_0079	K05936
NSED_09930	K01776
SU86_006580	K01880
T478_0060	K01151
NSED_00020	K18882
NKOR_00075	K02683
T478_0063	K09118
T478_0068	K02991
SU86_006630	K03242
Nmar_0073	K07158
T478_0086	K11130
NKOR_00130	K03237
NKOR_00135	K19221
T478_0090	K02224
T478_0089	K06042
T478_0091	K03795
T478_0092	K02189
NADRNF5_2193	K02188
T478_0095	K00789
SU86_006705	K04796
NMSP_0091	K04482
Nmar_0088	K03724
T478_0102	K01990
NADRNF5_2184	K01992
NMSP_0097	K09726
NPIRD3C_0125	K03687
T478_0108	K04043
SU86_006760	K03686
NADRNF5_2156	K19294
T478_0113	K03330
T478_0114	K09482
T478_0115	K13525
NKOR_00270	K02886
SU86_006800	K01512
T478_0122	K03926
T478_0121	K06965
SU86_006840	K03709
NPIRD3C_0105	K23356
T478_0128	K06937
CRN91_07365	K00122
NADRNF5_2201	K07151
T478_0133	K01784
SU86_006865	K13015
SU86_006870	K01953
Nmar_0157	K01009
NMSP_0157	K18602
NDEV_1678	K04795
BZZ01_05245	K21195
Nmar_1716	K01515
Nmar_0157	K01009
NSED_09670	K03768
T478_0001	K10725
T478_0001	K10725
T478_1498	K17104
Nmar_0010	K13993
T478_1476	K07130
T478_1471	K14165
NADRNF5_0113	K03057
T478_1465	K04802
T478_1464	K00928
T478_1462	K05934
T478_1463	K01866
NDEV_2078	K13010
T478_1453	K03768
NDEV_2062	K00952
T478_1440	K00096
SU86_006325	K03433
T478_1437	K07041
T478_1438	K09152
NADRNF5_0146	K00566
NPIRD3C_0174	K01262
NMSP_0242	K01738
EBS_1928	K23886
T478_1434	K13038
T478_1433	K00606
T478_1432	K09722
T478_1431	K06982
NMSP_1632	K01515
T478_1427	K09808
NPIRD3C_0162	K09810
NADRNF5_0165	K13993
NPIRD3C_0332	K00943
NPIRD3C_0333	K06885
SU86_005710	K09903
NADRNF5_0177	K07464
T478_1378	K03320
NADRNF5_0182	K01011
NDEV_2008	K02124
NDEV_2007	K02121
NDEV_2006	K02119
NFRAN_0341	K02122
NDEV_2004	K02117
NDEV_2003	K02118
NDEV_2002	K02120
NDEV_1999	K02123
Nmar_1687	K00610
NSED_08980	K00609
NPIRD3C_0773	K00721
T478_1364	K14166
T478_0829	K04799
NKOR_03620	K04799
T478_0578	K01845
NKOR_05725	K02503
NKOR_05740	K15016
SU86_001055	K03059
NMSP_0599	K02946
CENSYa_0406	K03231
NADRNF5_0895	K01622
Nmar_1037	K10747
NKOR_05795	K01170
T478_0870	K07090
SU86_000975	K09005
NADRNF5_0873	K21929
NPIRD3C_1057	K03652
T478_0883	K02031
SU86_000905	K09759
NADRNF5_0866	K09759
NKOR_06420	K00052
T478_0886	K01649
Nmar_1071	K01653
T478_0888	K01652
NKOR_06450	K08321
T478_0891	K00008
NPIRD3C_1035	K06953
SU86_000700	K01955
NKOR_06490	K01956
SU86_000675	K12196
SU86_000645	K07463
T478_0906	K01647
NMSP_0515	K11529
Nmar_1110	K18602
NPIRD3C_0998	K14728
T478_0912	K07005
NDEV_0867	K11175
T478_1290	K00817
T478_1289	K00013
NPIRD3C_0091	K00765
T478_1287	K00054
NSED_00695	K06932
SU86_004630	K07561
NADRNF5_0325	K07573
Nmar_1567	K04518
NPIRD3C_0486	K00088
NADRNF5_0321	K00796
NSED_00650	K07142
NSED_00640	K01951
SU86_004675	K01951
SU86_004690	K00847
NPIRD3C_0478	K22447
SU86_004695	K22447
NDEV_1944	K22447
NADRNF5_0313	K01486
SU86_004705	K02929
SU86_004710	K02978
NMSP_0178	K19712
Nmar_1582	K02233
NPIRD3C_0473	K02227
T478_1308	K02232
T478_1309	K04720
T478_1310	K00133
T478_1311	K03718
T478_1312	K02257
NDEV_1955	K02257
Nmar_0873	K02042
Nmar_0873	K02042
NADRNF5_1177	K02041
Nmar_0874	K02041
NADRNF5_1177	K02041
NADRNF5_1176	K02044
T478_1315	K16874
Nmar_1602	K03626
Nmar_1603	K07398
Nmar_1605	K03665
T478_1324	K07254
NSED_08695	K07254
Nmar_1607	K03136
SU86_005130	K14654
NMSP_1555	K08096
NSED_08735	K08096
NKOR_08785	K08096
NDEV_1969	K00794
T478_1330	K02858
T478_1331	K00793
T478_1332	K01644
NPIRD3C_0431	K06875
Nmar_1624	K02966
NSED_08855	K03540
NMSP_1568	K14568
NADRNF5_0255	K14568
SU86_005385	K00525
SU86_005385	K00525
NKOR_08860	K21636
T478_1344	K07068
T478_1345	K00626
NMSP_1575	K07479
T478_1346	K11206
Nmar_1634	K01821
NPIRD3C_1623	K04479
SU86_002945	K22585
NPIRD3C_0403	K09816
NADRNF5_0232	K09817
T478_0237	K07722
T478_0580	K03704
T478_0543	K00020
NKOR_03240	K09120
NPIRD3C_1636	K17830
Nmar_0618	K02035
Nmar_0620	K08979
NKOR_03180	K07143
T478_0982	K03113
NSED_03220	K14941
Nmar_0626	K11212
T478_0976	K03294
SU86_003085	K09140
NMSP_1073	K01265
CENSYa_1234	K03120
T478_0997	K06878
SU86_003150	K11780
NKOR_03090	K11780
NMSP_1084	K11781
NPIRD3C_1666	K11781
NTE_02502	K11781
T478_1002	K07301
T478_1002	K07301
Nmar_0583	K06869
NKOR_03040	K06869
T478_1005	K06869
T478_1006	K01933
T478_1006	K01933
NMSP_1091	K07739
NSED_03045	K07739
SU86_003190	K07739
NPIRD3C_1685	K04566
NDEV_0664	K04566
NDEV_0664	K04566
T478_0377	K00759
SU86_008700	K00759
NKOR_07730	K00772
T478_0946	K06941
NADRNF5_0473	K03166
NMSP_0337	K03167
T478_0368	K06961
NKOR_06040	K03236
NPIRD3C_2072	K09148
Nmar_1412	K03238
T478_0361	K08975
NADRNF5_0463	K15888
NSED_07785	K01591
T478_0356	K01939
NSED_07825	K07566
NPIRD3C_2094	K06963
NMSP_0316	K02962
T478_0346	K03424
NMSP_0314	K24450
NKOR_07930	K00946
SU86_008500	K02948
T478_0330	K14415
NMSP_0169	K00059
T478_0327	K01756
T478_0328	K01953
NPIRD3C_2118	K01724
T478_0324	K01873
Clo1313_0480	K07316
Mia14_0870	K01156
NDEV_0297	K09121
NPIRD3C_0744	K06864
NDEV_0295	K04487
NPIRD3C_0750	K03053
NADRNF5_1905	K13798
NSED_01675	K03041
NADRNF5_1900	K02908
NSED_01700	K02600
CENSYa_0445	K02950
NKOR_01630	K02992
T478_1140	K06940
SU86_004160	K01869
T478_1138	K01872
NADRNF5_1873	K02869
NVIE_015850	K23359
NVIE_015860	K10974
Rxyl_3038	K01470
NVIE_015910	K23536
NVIE_015920	K23535
NVIE_015930	K23537
NVIE_015900	K07335
Desde_0781	K02381
ADU37_CDS19560	K00926
NTE_00791	K02433
T478_0283	K07159
T478_1119	K03110
Nmar_0397	K00611
T478_1117	K02881
Nmar_0399	K02988
T478_1115	K02907
T478_1114	K02876
NSED_01945	K03076
T478_1112	K00939
T478_1110	K00945
T478_1109	K11131
T478_1106	K15736
SU86_003975	K00174
T478_1101	K00175
SU86_003945	K01703
NADRNF5_1752	K01704
NMSP_1301	K02996
Nmar_0426	K02871
SU86_003910	K02883
SU86_003905	K03047
T478_0403	K14574
NSED_02240	K03679
NKOR_02145	K03679
T478_0405	K11600
T478_0406	K12589
NPIRD3C_1928	K02921
NADRNF5_1738	K04798
Nmar_0437	K10848
NSED_02275	K07060
T478_0412	K00858
SU86_003780	K03455
NSED_02310	K03455
SU86_003755	K02866
NPIRD3C_1909	K01170
NKOR_00680	K14260
T478_0207	K06988
SU86_007185	K15634
T478_0210	K02275
T478_0211	K02274
NADRNF5_0135	K04719
NADRNF5_1987	K01755
NSED_01205	K00240
NADRNF5_1990	K00242
SU86_007965	K00241
NSED_01190	K00239
Nmar_0255	K03622
NSED_01225	K02492
NPIRD3C_0643	K00528
T478_1202	K00826
T478_1203	K18855
CENSYa_1719	K09791
T478_1217	K03726
NDEV_1860	K10726
T478_1219	K09723
T478_1220	K04801
NDEV_1865	K03264
SU86_007840	K01892
SU86_007835	K24956
T478_1227	K03243
NDEV_1870	K00940
NDEV_1871	K02896
SU86_007810	K02979
T478_1232	K02936
Nmar_0224	K15778
NKOR_00955	K01433
NKOR_03345	K03622
NKOR_03365	K00809
Nmar_0649	K01858
T478_0542	K03529
SU86_002885	K03529
NMSP_1038	K03529
NKOR_03380	K03529
Nmar_0652	K02032
NSED_03365	K18911
NSED_03365	K18911
T478_0546	K01881
NDEV_0751	K01079
NKOR_03420	K12234
T478_0552	K04085
T478_0553	K00384
T478_0553	K00384
T478_0555	K22699
T478_0556	K00392
T478_0557	K01011
T478_0877	K06944
T478_0876	K22223
T478_0875	K01887
NKOR_04400	K02895
CENSYa_0867	K02874
CENSYa_0866	K02961
NDEV_0935	K02904
NPIRD3C_1417	K02982
NMSP_0761	K02890
NKOR_04435	K02965
Nmar_0807	K02892
NMSP_0764	K02930
NADRNF5_1262	K02906
NADRNF5_1260	K09142
NSED_04495	K03432
NMSP_0779	K00639
T478_0725	K01012
T478_0726	K00833
T478_0728	K01935
NSED_04555	K01641
NPIRD3C_1371	K00150
T478_0732	K03699
T478_0733	K01733
NADRNF5_1223	K07068
T478_0739	K00626
NPIRD3C_1360	K00320
T478_0741	K00966
NKOR_05460	K01251
NSED_05565	K01916
T478_0825	K01883
Nmar_0980	K06942
Nmar_0982	K06929
NSED_05680	K03524
T478_0583	K03124
T478_0278	K01737
NPIRD3C_1545	K01895
T478_0834	K07305
Nmar_0696	K00003
Nmar_0694	K03433
NPIRD3C_1555	K17758
SU86_002740	K07442
Nmar_0781	K00764
SU86_002220	K00764
T478_0687	K23269
T478_0687	K23269
T478_0686	K23265
Nmar_0777	K23264
Nmar_0774	K03118
NSED_04300	K03116
T478_0672	K03186
T478_0670	K06863
NMSP_0725	K06863
T478_0598	K03234
NKOR_03845	K11785
SU86_002430	K18285
NKOR_07335	K07732
T478_1054	K14656
T478_1054	K14656
T478_1052	K20215
NADRNF5_0659	K20215
NSED_07190	K05831
Nmar_1296	K05831
NPIRD3C_0828	K05831
T478_1050	K05827
T478_1049	K05826
NSED_07165	K05830
T478_1045	K05828
T478_1044	K05829
T478_1043	K05827
NMSP_0404	K05826
NKOR_07260	K01940
T478_1040	K02051
T478_1039	K02049
T478_1037	K02050
NCAV_0622	K00549
NCAV_0620	K00549
SU86_009160	K02924
NKOR_07210	K02910
NKOR_07205	K03531
Nmar_1261	K15865
NMSP_0419	K01744
Nmar_0157	K01009
NMSP_0154	K13039
NMSP_0155	K06034
Nmar_0160	K01841
MCMEM_0242	K13010
Chro_4820	K14952
NPIRD3C_0064	K13010
GNIT_0801	K00604
T478_0792	K01695
T478_0794	K01937
NSED_05145	K00858
Nmar_0923	K02976
NADRNF5_1078	K17884
Nmar_0925	K01480
T478_0799	K01868
NPIRD3C_1250	K00809
SU86_001470	K09143
T478_0809	K03014
CENSYa_0302	K03622
NMSP_0930	K07108
T478_0813	K01953
NSED_05245	K02548
CENSYa_1183	K03769
Thena_1098	K07317
Mhun_0477	K07448
DU484_00090	K07114
HMPREF0389_00442	K20074
NSED_00895	K04069
SU86_004385	K06990
NKOR_00910	K06990
Metin_0934	K06990
NSED_00890	K09141
NADRNF5_0486	K00555
NDEV_1682	K00555
NPIRD3C_2054	K03470
NPIRD3C_2053	K04795
T478_1082	K14564
NADRNF5_0490	K17828
T478_1080	K02823
T478_1080	K02823
NADRNF5_0493	K02983
Nmar_1386	K04483
NDEV_1665	K04483
Nmar_1386	K04483
CENSYa_0466	K02889
Nmar_1382	K07572
NKOR_07670	K07572
SU86_008325	K10944
SU86_008310	K10945
NDEV_1761	K02201
SU86_008395	K01867
T478_0314	K01889
T478_0315	K01890
T478_0320	K01681
Nmar_1117	K01491
NKOR_06655	K01934
Nmar_1119	K01945
SU86_006110	K12410
T478_0924	K01870
T478_0926	K01903
T478_0927	K01902
CENSYa_0108	K02927
NSED_00455	K03183
SU86_001285	K07588
Tsac_0599	K01784
T478_0645	K13722
T478_0626	K01849
T478_0625	K00053
T478_0821	K01874
NADRNF5_0990	K01251
NKOR_07485	K03163
NMSP_0375	K03163
T478_1068	K03163
Nmar_1322	K03163
SU86_008890	K03163
NSED_07305	K00571
T478_1065	K03116
T478_1062	K03183
T478_1062	K03183
T478_1061	K03432
NTE_03255	K07006
NSED_07270	K00260
T478_1059	K00260
NKOR_07395	K00260
NSED_07250	K18594
NPIRD3C_0816	K18594
T478_1057	K15019
T478_1057	K15019
T478_1057	K15019
NMSP_0387	K13628
NKOR_07340	K02316
NSED_07215	K02316
Nmar_1301	K07732
SU86_004460	K02428
NKOR_08320	K15449
T478_0228	K03284
T478_0232	K09721
SU86_004410	K01885
T478_0244	K13787
T478_0245	K01823
FAD_1323	K03657
Mia14_0534	K03657
NSED_03705	K02034
NADRNF5_1420	K02034
NADRNF5_1419	K02033
NMSP_1157	K03124
T478_0383	K03124
Nmar_0517	K03124
NPIRD3C_1761	K03124
NADRNF5_1669	K09013
T478_0382	K09013
T478_0462	K22225
NSED_02570	K22225
NPIRD3C_1766	K22225
SU86_003565	K24866
NDEV_0470	K24866
NADRNF5_1676	K02492
NADRNF5_1676	K02492
SU86_003570	K02492
NSED_02560	K02492
Nmar_0510	K02492
SU86_003575	K01698
NSED_02555	K01698
T478_0461	K01698
T478_0481	K03182
NSED_02810	K11784
NPIRD3C_1720	K11784
T478_0482	K11784
T478_0480	K16306
NSED_02800	K11646
T478_0479	K11646
NPIRD3C_1723	K03785
NDEV_0547	K03785
NSED_02790	K00014
NDEV_0543	K00014
NKOR_02850	K00014
NMSP_1122	K00891
SU86_003340	K00891
Nmar_0548	K00800
NDEV_0541	K00800
NADRNF5_1630	K00800
T478_0785	K01687
NDEV_1128	K01657
SU86_001580	K01658
T478_0789	K00766
NADRNF5_1091	K01609
T478_0791	K01696
NKOR_05155	K01695
T478_0439	K20276
NSED_02415	K07220
T478_0951	K03306
SU86_007665	K06188
NKOR_02515	K06188
T478_0441	K01845
T478_0441	K01845
T478_0442	K01749
Nmar_0492	K02303
SU86_003670	K02303
NSED_02465	K02303
T478_0444	K01719
NPIRD3C_1788	K01719
DSOUD_3287	K01150
T478_1290	K00817
T478_1292	K01693
NADRNF5_0337	K02501
NMSP_0207	K01814
T478_1295	K02500
NPIRD3C_0083	K01496
SU86_004560	K01733
NPIRD3C_0080	K21029
NKOR_04395	K02987
NKOR_04390	K02931
NKOR_04385	K02954
NADRNF5_1276	K02994
T478_0702	K02933
T478_0694	K09738
NPIRD3C_1439	K01923
CENSYa_0887	K01923
GARCT_03168	K15897
NDEV_0212	K18430
CAQ16704_1331	K00604
T478_1213	K00615
T478_1212	K00615
T478_1211	K00616
T478_1134	K02864
NPIRD3C_2007	K02863
NPIRD3C_1986	K03718
NADRNF5_1794	K02867
NDEV_0330	K02601
SU86_004105	K09716
T478_0325	K08681
T478_0323	K06215
Calag_1197	K00812
CTK_C07430	K02078
NADRNF5_2156	K19294
NADRNF5_2037	K01433
NSED_00935	K01470
NSED_00930	K04796
CENSYa_0036	K02922
T478_1241	K01807
NMSP_1497	K01464
T478_0439	K20276
T478_0438	K01992
NMSP_1195	K01990
T478_1085	K02427
NADRNF5_0485	K02427
NADRNF5_0503	K03651
Ngar_c25140	K03651
NDEV_1658	K00030
CENSYa_0471	K00030
CENSYa_0471	K00030
NDEV_1658	K00030
Nmar_1380	K02493
NADRNF5_0499	K07572
NPIRD3C_2159	K02984
SU86_008265	K07581
NADRNF5_0378	K04748
T478_0158	K00973
T478_0184	K07027
T478_0159	K05303
NADRNF5_2125	K00997
T478_0162	K05606
T478_0940	K03564
T478_0637	K01803
T478_0636	K01006
T478_0448	K11717
NMSP_1178	K11717
T478_0446	K09015
Nmar_0496	K09014
NKOR_02540	K09014
SU86_003660	K09014
SU86_003660	K09014
NKOR_02540	K09014
NSED_02480	K09014
T478_0445	K09014
T478_1025	K00058
T478_1026	K00368
T478_1027	K01744
SU86_007100	K07257
T478_0200	K08963
T478_0639	K02319
T478_0638	K15383
NADRNF5_2047	K03671
NKOR_00865	K13280
T478_1248	K14534
NDEV_0297	K09121
T478_0268	K00024
SU86_004265	K06898
T478_0471	K00812
NPIRD3C_1728	K00812
Nmar_0546	K00812
T478_0472	K01736
T478_0472	K01736
T478_0156	K01790
T478_0391	K03263
T478_0391	K03263
T478_0488	K03564
SU86_003280	K09866
NMSP_0138	K19294
Nmar_0157	K01009
Thit_0043	K00059
NMSP_0153	K01009
T478_0169	K13010
T478_0170	K16435
T478_0168	K13327
T478_0169	K13010
NKOR_02695	K05896
NPIRD3C_1755	K05896
SU86_003485	K13953
NMSP_1151	K13953
Maeo_0642	K23144
T478_0385	K03105
SU86_003500	K02995
CENSYa_1410	K02995
NADRNF5_1664	K06024
T478_0387	K06024
Nmar_0538	K00965
T478_0464	K00621
NPIRD3C_0070	K02078
NDEV_1292	K05606
NDEV_0536	K03147
T478_0469	K03147
SU86_003370	K03147
T478_0467	K21219
NSED_01910	K03110
T478_1120	K04797
T478_1121	K04564
T478_0254	K01069
NPIRD3C_0723	K17759
T478_0449	K04488
Ga0123461_0090	K11717
T478_0157	K01710
NADRNF5_2117	K18430
T478_0224	K08851
T478_1124	K14647
T478_0747	K01588
NADRNF5_1788	K02912
NADRNF5_1789	K02885
SU86_004100	K00567
NPIRD3C_1980	K09716
CENSYa_1398	K07466
CENSYa_0214	K04517
NKOR_02985	K07006
NSED_02675	K03106
SU86_003430	K03106
T478_0515	K07304
NPIRD3C_1780	K00927
T478_0467	K21219
NKOR_02775	K15635
SU86_003400	K15635
NPIRD3C_1735	K00966
Nmar_0541	K00966
T478_1093	K15635
NSED_02510	K00927
NKOR_02800	K21219
NDEV_0442	K20276
Nmar_0500	K00927
NMSP_1137	K09763
NDEV_0523	K07583
SU86_003400	K15635
SU86_003400	K15635
NKOR_02760	K02977
T478_0394	K03106
T478_0467	K21219
SU86_003395	K00965
NSED_08585	K01790
NADRNF5_2132	K01710
NSED_08575	K00067
