NADRNF5_2213	K01880
NPIRD3C_1807	K02040
NSED_06825	K06176
NKOR_06865	K18235
NKOR_06870	K04794
NADRNF5_0722	K17830
NADRNF5_0721	K03232
NPIRD3C_0794	K07090
NPIRD3C_0891	K02257
NKOR_06910	K21140
NPIRD3C_0888	K09143
R70723_17750	K03294
NADRNF5_0712	K15987
NKOR_06955	K15987
NADRNF5_0710	K09735
NPIRD3C_0877	K03593
Nmar_1235	K03049
NKOR_07010	K03050
NSED_06935	K00767
NADRNF5_0545	K01480
NADRNF5_0546	K00294
NADRNF5_0546	K00294
NADRNF5_0547	K00318
NSED_06945	K03517
NSED_06950	K06989
NPIRD3C_0866	K06915
NADRNF5_0698	K03547
Nmar_1245	K03546
NSED_01440	K06940
NKOR_08000	K01174
NSED_09670	K03768
NMSP_0424	K02877
NADRNF5_0686	K00058
NKOR_07190	K00368
NADRNF5_0684	K01744
Nmar_1261	K15865
Nmar_1262	K03531
NKOR_07210	K02910
NADRNF5_0680	K02924
NKOR_07230	K00548
NPIRD3C_0845	K00548
NADRNF5_0673	K02050
NPIRD3C_0840	K02049
NADRNF5_0672	K02049
NADRNF5_0671	K02051
Nmar_1286	K01940
NSED_07145	K05826
NPIRD3C_0836	K05827
NKOR_07275	K05829
NADRNF5_0666	K05828
NADRNF5_0666	K05828
NKOR_07285	K05830
Nmar_1294	K05826
NSED_07185	K05827
Nmar_1296	K05831
NADRNF5_0659	K20215
NSED_07205	K14656
Nmar_1301	K07732
NSED_07215	K02316
NKOR_07345	K13628
NMSP_0386	K15019
NADRNF5_0651	K18594
NADRNF5_0626	K00260
NSED_07280	K03432
NPIRD3C_0810	K03183
NPIRD3C_0809	K08153
NADRNF5_0621	K04751
NPIRD3C_0807	K03116
NADRNF5_0619	K00571
NADRNF5_0618	K06877
NKOR_07485	K03163
NDEV_1706	K07698
NVIE_027990	K01768
NKOR_05855	K01768
NADRNF5_1876	K01872
NMSP_1348	K01869
NKOR_03945	K03183
NADRNF5_1895	K06940
NSED_01710	K02992
NADRNF5_1898	K02950
Nmar_0353	K02600
NADRNF5_1900	K02908
NPIRD3C_0753	K04796
Nmar_0348	K03041
NADRNF5_1905	K13798
NKOR_01585	K03053
NADRNF5_1911	K04487
NPIRD3C_0744	K06864
NADRNF5_1913	K09121
NSED_01630	K09121
NPIRD3C_0742	K00024
NSED_01620	K06898
NMSP_1191	K07086
NADRNF5_1404	K03413
NSED_01590	K07238
NKOR_01485	K02952
Nmar_0324	K02986
NADRNF5_1927	K00820
NPIRD3C_0724	K01069
NKOR_01455	K17759
NADRNF5_1933	K07477
NADRNF5_1934	K03058
NKOR_01440	K01689
NADRNF5_1936	K02967
NDEV_0282	K06990
Nmar_0315	K00869
NSED_01515	K06981
NSED_01510	K01823
Nmar_0312	K13787
NPIRD3C_0713	K01885
NKOR_01385	K09721
NMSP_1405	K03284
Nmar_0301	K00616
NPIRD3C_0693	K00615
NADRNF5_1952	K00615
NSED_01430	K01255
NKOR_01320	K06174
NKOR_01315	K15429
NADRNF5_1959	K03789
NPIRD3C_0679	K00762
NSED_01340	K06137
NADRNF5_1964	K02523
NSED_01330	K00343
NKOR_01270	K00341
NPIRD3C_0674	K00342
NPIRD3C_0673	K05576
NSED_01305	K00338
NPIRD3C_0670	K00337
NMSP_1431	K00333
NSED_01285	K00331
NADRNF5_1974	K00330
NPIRD3C_0665	K24129
NADRNF5_1976	K18605
NPIRD3C_0663	K18603
NSED_01260	K18604
NADRNF5_1980	K04800
NPIRD3C_0658	K01092
NSED_01235	K00528
NADRNF5_1985	K02492
NADRNF5_1987	K01755
NKOR_01150	K00240
NSED_01200	K00242
NPIRD3C_0649	K00241
NSED_01190	K00239
SU86_002510	K03762
NMY3_02839	K03762
NADRNF5_1996	K03622
Nmar_0253	K00528
NADRNF5_2000	K00826
NSED_01150	K18855
NKOR_01085	K09791
Nmar_0244	K01001
Nmar_0243	K03726
NKOR_01055	K10726
NSED_01115	K09723
NPIRD3C_0632	K04801
NKOR_01030	K03264
NSED_01090	K01892
NKOR_01005	K24956
NKOR_00990	K03671
NPIRD3C_0620	K03243
Nmar_0228	K00940
Nmar_0227	K02896
NKOR_00970	K02979
NADRNF5_2035	K02936
Nmar_0224	K15778
NKOR_00955	K01433
NSED_00935	K01470
NPIRD3C_0612	K04796
NSED_00915	K01807
NPIRD3C_0604	K01464
NADRNF5_2047	K03671
NKOR_00865	K13280
NADRNF5_2050	K14534
NADRNF5_2051	K18593
Nmar_0205	K03469
NKOR_00795	K06196
NSED_02080	K13993
NSED_06680	K00368
NKOR_02915	K19784
Ngar_c02230	K06911
Ngar_c31130	K07104
NSED_00450	K02563
NMSP_1514	K00928
Nmar_0192	K00826
NKOR_00740	K03413
NKOR_00715	K02274
NKOR_00710	K02275
NADRNF5_2099	K15634
NADRNF5_2100	K06988
NADRNF5_2103	K14260
NMSP_0169	K00059
NSED_00325	K08963
NADRNF5_1460	K07006
NKOR_08570	K00847
NKOR_08575	K22447
NADRNF5_0313	K01486
Nmar_1579	K02929
NSED_00605	K02978
NKOR_08595	K19712
NSED_00595	K02233
Nmar_1583	K02227
NMSP_0175	K02232
NADRNF5_0308	K02232
NMSP_0174	K04720
NSED_00570	K00133
NDEV_1954	K03718
NADRNF5_0303	K02257
NKOR_08690	K16874
NMSP_1543	K02107
NPIRD3C_0452	K03626
NADRNF5_0282	K07398
NPIRD3C_0449	K03665
NADRNF5_0279	K07254
Nmar_1607	K03136
NPIRD3C_0445	K18601
NPIRD3C_0441	K14654
NKOR_08785	K08096
NADRNF5_0269	K00794
Nmar_1616	K02858
NKOR_08800	K00793
NADRNF5_0264	K03413
NMSP_1560	K01644
SU86_005270	K07566
NMSP_1562	K06875
NPIRD3C_0430	K02966
NADRNF5_0791	K03885
NKOR_08840	K03540
NADRNF5_0255	K14568
NPIRD3C_0425	K00525
NSED_08875	K21636
NADRNF5_0250	K07068
NSED_08890	K00626
NADRNF5_0248	K07479
Nmar_1633	K11206
NADRNF5_0246	K01821
NADRNF5_0234	K14166
NPIRD3C_0403	K09816
NADRNF5_0232	K09817
NSED_08960	K09815
NSED_08965	K07722
NADRNF5_0193	K07157
NPIRD3C_0353	K00609
Nmar_1687	K00610
NMSP_1603	K02124
NKOR_08985	K02120
NPIRD3C_0348	K02118
NKOR_08995	K02117
Nmar_1692	K02121
NKOR_09005	K02123
NSED_09030	K01011
NKOR_09015	K03320
NKOR_09025	K02119
NADRNF5_0177	K07464
Nmar_1705	K09903
Nmar_1706	K06885
NKOR_09065	K00943
NADRNF5_0165	K13993
Nmar_1713	K09810
NADRNF5_0158	K09808
NKOR_09115	K01515
Nmar_1718	K06982
NSED_09155	K09722
NPIRD3C_0169	K00606
Nmar_1721	K13038
NADRNF5_0146	K00566
NSED_09195	K07041
NADRNF5_0143	K03433
Nmar_1729	K00096
NSED_09220	K00952
NPIRD3C_0183	K01974
NADRNF5_0137	K07245
Nmar_1736	K04719
NKOR_09245	K03768
NMSP_1666	K00577
NSED_09305	K13010
NKOR_09305	K01866
NADRNF5_0117	K05934
NADRNF5_0115	K00928
NADRNF5_0114	K04802
NPIRD3C_0207	K03057
NPIRD3C_0212	K14165
NDEV_2096	K04069
NADRNF5_0107	K07130
NSED_09410	K11717
NCAV_1724	K04751
NADRNF5_1476	K00024
NSED_09475	K03294
AOA66_0981	K07301
NMSP_1691	K00948
NSED_09505	K00948
NSED_09510	K07446
NSED_09515	K00784
Nmar_1777	K12410
Nmar_1779	K09736
NADRNF5_0086	K01975
NMSP_1697	K07558
NKOR_09485	K07176
NADRNF5_0082	K17218
NSED_09560	K17218
NPIRD3C_0245	K09723
NPIRD3C_0246	K01915
NPIRD3C_0248	K22447
NSED_09600	K00600
NADRNF5_0073	K02322
Nmar_1795	K17104
NPIRD3C_0256	K10725
Nmar_0002	K02323
NSED_09660	K03399
NSED_09670	K03768
NSED_09675	K03885
NADRNF5_0058	K13993
Nmar_0011	K13525
NADRNF5_0054	K03124
NKOR_09650	K06199
NKOR_06935	K06869
NKOR_06940	K13993
NKOR_03055	K04751
NKOR_03060	K04751
NPIRD3C_1670	K03320
NPIRD3C_0281	K03124
NPIRD3C_0284	K00860
NSED_09760	K01082
Nmar_0024	K01082
SU86_006380	K03124
NPIRD3C_0298	K10026
NKOR_09775	K01495
NPIRD3C_0301	K06920
NADRNF5_0027	K00872
NSED_09835	K24104
NPIRD3C_0305	K07027
NSED_09845	K07124
NKOR_09830	K00390
NSED_09875	K00958
NSED_09885	K10773
Nmar_0054	K09128
NDEV_0073	K09141
NADRNF5_1448	K09122
NSED_09915	K02191
NADRNF5_0009	K03394
NPIRD3C_0323	K05936
NADRNF5_0002	K01776
NADRNF5_0001	K21449
NADRNF5_0001	K21449
NADRNF5_0001	K21449
NSED_06905	K15987
NSED_07110	K08153
NKOR_07245	K02050
NSED_07160	K05828
Nmar_0450	K01170
NSED_02325	K02866
NSED_02310	K03455
Nmar_0441	K01011
NKOR_02190	K00858
NPIRD3C_1921	K07060
NADRNF5_1736	K01011
NADRNF5_1737	K10848
Nmar_0436	K04798
NSED_02255	K02921
Nmar_0433	K12589
NADRNF5_1742	K11600
NADRNF5_1743	K03679
NMSP_1297	K14574
NKOR_02130	K03047
NADRNF5_1746	K02883
NKOR_02120	K02871
NKOR_02115	K02996
NSED_02205	K00966
NPIRD3C_1939	K01704
NPIRD3C_1940	K01703
NPIRD3C_1941	K01704
NADRNF5_1753	K01703
Nmar_0420	K01703
SU86_001730	K09807
NMSP_1311	K00175
NMSP_1312	K00174
NSED_02140	K00015
NADRNF5_1767	K15736
NADRNF5_1001	K03120
NSED_01965	K11131
Nmar_0405	K00945
Nmar_0403	K00939
NADRNF5_1777	K03076
NPIRD3C_1965	K02876
NPIRD3C_1966	K02907
NPIRD3C_1967	K02988
NPIRD3C_1968	K02881
NPIRD3C_1969	K00611
NSED_01910	K03110
NADRNF5_1784	K04797
NADRNF5_1785	K04564
NADRNF5_1786	K14647
NSED_01890	K01610
NSED_01885	K02912
NADRNF5_1789	K02885
Nmar_0388	K00567
NADRNF5_1791	K09716
NSED_01865	K07342
NADRNF5_1793	K02601
NADRNF5_1794	K02867
NSED_01850	K03718
NKOR_01790	K02863
NSED_01840	K02864
NDEV_0324	K02869
NDEV_1765	K07498
NKOR_08150	K03413
NADRNF5_0503	K03651
NKOR_07655	K00030
NADRNF5_0501	K02493
NADRNF5_0500	K02528
NADRNF5_0499	K07572
NADRNF5_0497	K02889
NPIRD3C_2045	K06941
NPIRD3C_2047	K04483
NPIRD3C_2048	K02983
Nmar_1389	K02823
NADRNF5_0490	K17828
Nmar_1391	K14564
NPIRD3C_2052	K14564
NMSP_0353	K04795
Nmar_1393	K03470
NADRNF5_0487	K03470
NADRNF5_0486	K00555
NPIRD3C_2056	K02427
NSED_07590	K00759
NMSP_0344	K00772
NSED_07730	K03166
NADRNF5_0472	K03167
NKOR_07770	K06961
NKOR_07775	K07178
NADRNF5_0469	K09148
NSED_07755	K03238
NPIRD3C_2076	K08975
Nmar_1416	K15888
NKOR_07810	K01518
NSED_07785	K01591
NMSP_0325	K01939
NADRNF5_0451	K06963
NKOR_07875	K02962
NSED_07845	K03424
NPIRD3C_2098	K24450
sS8_0974	K01153
NVIE_022190	K01154
LEP3755_35740	K01154
AXF13_03580	K03427
DSC_11750	K03427
WANG_1560	K03427
NDEV_0574	K07465
NPIRD3C_2108	K00946
NSED_07970	K02948
NKOR_07955	K14415
NPIRD3C_2116	K01756
NSED_08025	K01953
NADRNF5_0423	K01724
NADRNF5_0422	K01737
NADRNF5_0421	K01873
NADRNF5_0418	K08681
NKOR_08010	K06215
NSED_08165	K01681
Nmar_1488	K01890
NADRNF5_0407	K01889
NKOR_08090	K01867
Nmar_1494	K02201
NVIE_024830	K07498
NDEV_1765	K07498
NSED_08250	K06223
SU86_008325	K10944
NSED_08265	K10946
NKOR_08185	K10945
NMSP_0251	K02956
NKOR_08215	K07462
Nmar_1511	K01875
NKOR_08235	K02984
NSED_08320	K07581
NSED_08330	K04748
NSED_04525	K06196
NSED_08340	K01738
NKOR_08270	K03120
NKOR_08290	K04751
NADRNF5_0366	K05540
NKOR_08320	K15449
NPIRD3C_0003	K02428
NKOR_08330	K08851
NSED_08430	K01409
NADRNF5_0357	K06942
Nmar_1535	K18532
NSED_08445	K18779
NADRNF5_0352	K07577
Nmar_1540	K03660
NADRNF5_0348	K00412
NADRNF5_0347	K15878
NADRNF5_0343	K21029
NKOR_08425	K01733
NPIRD3C_0083	K01496
NSED_00745	K02500
NADRNF5_0338	K01814
NMSP_0206	K02501
NMSP_0205	K01693
NADRNF5_0334	K00817
NMSP_0203	K00817
NSED_00715	K00013
NSED_00710	K00765
NADRNF5_0331	K00054
NSED_00695	K06932
Nmar_1563	K07561
NADRNF5_0325	K07573
NSED_00670	K04518
NKOR_08535	K00088
NADRNF5_0321	K00796
NSED_00650	K07142
NPIRD3C_0482	K01951
SU86_007140	K15916
Halha_2241	K07257
MGMSRv2__3425	K04034
NADRNF5_2114	K01784
NADRNF5_2114	K01784
BEN51_03840	K01835
MGMSRv2__3429	K01009
Nmar_0662	K01009
Nmar_1716	K01515
NMSP_0153	K01009
NMSP_0154	K13039
NMSP_0155	K06034
NMSP_0156	K01841
NMSP_0157	K18602
BPLAN_576	K00059
NADRNF5_2115	K07257
NADRNF5_2116	K13010
AY555_07000	K00662
Nmar_0163	K14952
NADRNF5_2117	K18430
NADRNF5_2119	K15894
AOA66_1384	K00067
NADRNF5_2125	K00997
NADRNF5_2127	K01897
NADRNF5_2123	K01916
NADRNF5_2123	K01916
NADRNF5_2132	K01710
AOA66_1383	K01790
T478_0196	K03270
T478_0199	K03271
KSMBR1_2322	K03079
T478_0168	K13327
NPIRD3C_0052	K00059
NADRNF5_2141	K00973
T478_0166	K22278
NADRNF5_2148	K01711
NFRAN_0173	K01784
NADRNF5_2160	K06937
NPIRD3C_0105	K23356
NADRNF5_2162	K03709
Nmar_0109	K06965
NPIRD3C_0111	K03926
NPIRD3C_0116	K01512
NADRNF5_2172	K02886
NSED_00215	K13525
Nmar_0100	K09482
NADRNF5_2175	K03330
NADRNF5_2175	K03330
Nmar_0098	K05967
NPIRD3C_0123	K03686
NADRNF5_2179	K04043
NPIRD3C_0125	K03687
NADRNF5_2182	K09726
NADRNF5_2184	K01992
NPIRD3C_0131	K01990
Nmar_0088	K03724
NPIRD3C_0133	K03724
NADRNF5_2189	K04482
NADRNF5_2190	K04796
NSED_00120	K00789
NPIRD3C_0139	K02188
NADRNF5_2194	K02189
Nmar_0081	K03795
NPIRD3C_0142	K06042
NSED_00090	K02224
Nmar_0078	K19221
NKOR_00130	K03237
NADRNF5_2201	K07151
NSED_00060	K07158
NSED_00055	K03242
NKOR_00100	K02991
NADRNF5_2208	K01951
NKOR_00080	K09118
Nmar_0066	K02683
Nmar_0065	K18882
NKOR_00065	K01151
Nmar_0063	K01880
NADRNF5_0001	K21449
Metme_1172	K19294
Metme_1177	K22424
NSED_08130	K00294
NSED_09010	K02121
NPIRD3C_0347	K02117
NSED_09000	K02118
NPIRD3C_0349	K02120
NMSP_1603	K02124
Nmar_1687	K00610
NKOR_08970	K00609
NADRNF5_0193	K07157
CENSYa_1056	K07722
T478_0238	K09815
T478_0240	K09817
T478_0241	K09816
NADRNF5_0234	K14166
NADRNF5_0246	K01821
Nmar_1633	K11206
NPIRD3C_0420	K07479
NKOR_08875	K00626
NMSP_1573	K07068
NSED_08875	K21636
NPIRD3C_0425	K00525
NADRNF5_0255	K14568
NSED_08855	K03540
NPIRD3C_0430	K02966
NSED_08785	K06875
NKOR_08820	K01644
NPIRD3C_0436	K00793
NKOR_08795	K02858
NADRNF5_0269	K00794
NPIRD3C_0439	K08096
NPIRD3C_0441	K14654
NPIRD3C_0445	K18601
NADRNF5_0278	K03136
NADRNF5_0279	K07254
NKOR_08730	K03665
NADRNF5_0282	K07398
NPIRD3C_0452	K03626
NMSP_1543	K02107
NKOR_08690	K16874
NSED_00560	K02257
NDEV_1954	K03718
NSED_00570	K00133
Nmar_1585	K04720
NADRNF5_0308	K02232
Nmar_1583	K02227
NSED_00595	K02233
NSED_00600	K19712
NSED_00605	K02978
NSED_00610	K02929
NADRNF5_0313	K01486
NKOR_08575	K22447
NKOR_08570	K00847
Nmar_1573	K01951
NSED_00650	K07142
NADRNF5_0321	K00796
NKOR_08535	K00088
NADRNF5_0325	K07573
NKOR_08505	K07561
NSED_00695	K06932
NSED_00705	K00054
NSED_00710	K00765
NMSP_0202	K00013
NADRNF5_0334	K00817
NSED_00730	K01693
NMSP_0206	K02501
NSED_00740	K01814
NSED_00745	K02500
NADRNF5_0340	K01496
NADRNF5_1002	K03124
NMSP_0942	K03120
Nmar_1213	K03546
CENSYa_0956	K03547
CENSYa_0957	K06915
NADRNF5_0703	K06989
NSED_06945	K03517
Nmar_1237	K00767
NKOR_07010	K03050
Nmar_1235	K03049
NPIRD3C_0877	K03593
NADRNF5_0710	K09735
NSED_06905	K15987
NKOR_06910	K21140
NPIRD3C_0891	K02257
NADRNF5_0721	K03232
NADRNF5_0723	K04794
NKOR_06865	K18235
NPIRD3C_0904	K06176
NPIRD3C_1388	K03190
NPIRD3C_1389	K03189
NMSP_0014	K03188
NSED_07660	K03187
SU86_007690	K01430
SU86_007685	K01429
NSED_07645	K01428
CENSYa_0457	K20989
NADRNF5_0733	K13953
NADRNF5_0735	K06888
NKOR_06755	K05592
NKOR_06740	K02626
NADRNF5_0752	K08602
NSED_06555	K01507
NKOR_06690	K02927
Nmar_1124	K01902
NADRNF5_0765	K01903
NPIRD3C_0968	K01870
NSED_06485	K01945
NSED_06480	K01934
NADRNF5_0771	K01491
NKOR_06635	K11175
NADRNF5_0775	K07577
Nmar_1111	K11529
NPIRD3C_0997	K18602
NADRNF5_0779	K14728
NSED_06420	K07005
NADRNF5_0784	K03702
NSED_06410	K03701
Nmar_1103	K03703
NADRNF5_0840	K01647
Nmar_1098	K07463
Nmar_1091	K23356
NADRNF5_0849	K01956
NPIRD3C_1034	K01955
NADRNF5_0855	K02122
Nmar_1079	K00008
NKOR_06450	K08321
NMSP_0545	K01652
NADRNF5_0860	K01653
NADRNF5_0861	K01649
NKOR_06420	K00052
NMSP_0573	K09759
NPIRD3C_1053	K02031
NPIRD3C_1057	K03652
NKOR_06370	K21929
NSED_06165	K06865
NPIRD3C_1066	K09005
NSED_06140	K07090
SU86_005270	K07566
NMSP_0622	K03124
NSED_00455	K03183
NMSP_0593	K01170
NSED_06110	K07220
NPIRD3C_1119	K10747
NADRNF5_0895	K01622
NADRNF5_0896	K03231
NSED_06085	K02946
Nmar_1032	K03059
NMSP_0604	K15016
NADRNF5_0906	K02503
NSED_05780	K01845
NADRNF5_1491	K01881
NSED_03365	K18911
Nmar_0652	K02032
Nmar_0651	K03529
NKOR_03370	K01858
NMSP_0400	K00809
NSED_03335	K06869
NSED_03320	K03832
NADRNF5_1506	K04479
NADRNF5_0975	K22585
NSED_05625	K02016
NSED_03265	K00020
NSED_03245	K17830
NPIRD3C_1641	K11212
NPIRD3C_1642	K14941
CENSYa_1212	K03113
NPIRD3C_1646	K07143
NKOR_03170	K08979
NSED_03180	K02035
NADRNF5_1534	K09140
NMSP_1073	K01265
NADRNF5_1562	K06878
NADRNF5_1568	K11780
NADRNF5_1569	K11781
NKOR_03040	K06869
NADRNF5_1580	K01933
NADRNF5_1584	K07739
NADRNF5_1585	K04566
NPIRD3C_1713	K09866
NADRNF5_1620	K03564
NKOR_02875	K03182
NPIRD3C_1720	K11784
NSED_02805	K16306
NKOR_02860	K11646
NMSP_1120	K03785
NKOR_02850	K00014
NADRNF5_1629	K00891
NADRNF5_1630	K00800
NSED_02770	K01736
NADRNF5_1634	K00812
NKOR_02825	K04517
NKOR_02820	K03574
NADRNF5_1637	K03147
NADRNF5_1639	K21219
NADRNF5_1640	K00966
Nmar_0540	K00621
NADRNF5_1643	K00965
NKOR_02775	K15635
NKOR_02770	K09763
NADRNF5_1647	K02977
NADRNF5_1652	K07583
NSED_02675	K03106
NSED_02670	K06927
NSED_04525	K06196
CENSYa_0419	K03263
NSED_02655	K03704
NSED_02650	K03236
NPIRD3C_1753	K06940
NKOR_02700	K13953
Nmar_0522	K05896
NADRNF5_1664	K06024
NADRNF5_1665	K02995
Nmar_0519	K03105
NADRNF5_1668	K03124
Nmar_0516	K09013
NPIRD3C_1766	K22225
Nmar_0511	K24866
NADRNF5_1676	K02492
NPIRD3C_1770	K01698
NMSP_1006	K01669
NSED_05640	K22491
NPIRD3C_1170	K03124
NSED_02545	K06950
NPIRD3C_1780	K00927
NADRNF5_1690	K04488
NSED_02495	K11717
NPIRD3C_1786	K09014
NSED_02470	K01719
NPIRD3C_1789	K02303
NKOR_02525	K01749
NADRNF5_1698	K01845
NADRNF5_1702	K06188
NPIRD3C_1796	K03741
SU86_003465	K03306
NSED_02415	K07220
NKOR_02475	K01992
NADRNF5_1710	K01990
NPIRD3C_1820	K14741
Nmar_0450	K01170
NSED_02325	K02866
NSED_02310	K03455
Nmar_0441	K01011
Nmar_0440	K00858
NADRNF5_1735	K07060
NADRNF5_1736	K01011
NADRNF5_1737	K10848
NSED_02265	K04798
NSED_02255	K02921
Nmar_0433	K12589
NADRNF5_1742	K11600
NSED_02240	K03679
NPIRD3C_1932	K14574
NPIRD3C_1934	K03047
NMSP_1299	K02883
NKOR_02120	K02871
Nmar_0425	K02996
NSED_02205	K00966
NSED_02200	K01704
NPIRD3C_1940	K01703
NADRNF5_1752	K01704
NADRNF5_1753	K01703
NMSP_1311	K00175
NMSP_1312	K00174
NADRNF5_1764	K00015
NADRNF5_1767	K15736
NSED_01965	K11131
NPIRD3C_1961	K00945
NSED_01950	K00939
Nmar_0402	K03076
NPIRD3C_1965	K02876
NPIRD3C_1966	K02907
NPIRD3C_1967	K02988
NPIRD3C_1968	K02881
NMSP_1328	K00611
NSED_01910	K03110
NADRNF5_1784	K04797
NKOR_01940	K04564
NADRNF5_1786	K14647
NADRNF5_1787	K01610
NADRNF5_1788	K02912
NMSP_1335	K02885
NADRNF5_1791	K09716
NKOR_01900	K07342
NADRNF5_1793	K02601
NADRNF5_1794	K02867
NSED_01850	K03718
NPIRD3C_2007	K02863
NMSP_1343	K02864
NDEV_0324	K02869
NMSP_1347	K01872
NMSP_1348	K01869
NADRNF5_1895	K06940
NSED_01710	K02992
NADRNF5_1898	K02950
NADRNF5_1899	K02600
NADRNF5_1900	K02908
NPIRD3C_0753	K04796
NSED_01675	K03041
NPIRD3C_0751	K13798
NKOR_01585	K03053
NADRNF5_1912	K06864
NSED_01630	K09121
NADRNF5_1914	K00024
NSED_01620	K06898
NSED_01590	K07238
NKOR_01485	K02952
NADRNF5_1926	K02986
NADRNF5_1927	K00820
NPIRD3C_0724	K01069
NPIRD3C_0723	K17759
NADRNF5_1933	K07477
NADRNF5_1934	K03058
NPIRD3C_0719	K01689
NADRNF5_1936	K02967
NSED_01520	K00869
NKOR_01425	K06981
NSED_01510	K01823
Nmar_0312	K13787
NPIRD3C_0713	K01885
NKOR_01390	K05710
NKOR_01385	K09721
NPIRD3C_0697	K03284
NSED_01455	K00616
NPIRD3C_0693	K00615
NADRNF5_1952	K00615
NSED_01430	K01255
NKOR_01320	K06174
NKOR_01315	K15429
NKOR_01305	K03789
NKOR_01290	K00762
NSED_01340	K06137
NADRNF5_1964	K02523
NADRNF5_1965	K00343
NADRNF5_1966	K00341
NPIRD3C_0674	K00342
NPIRD3C_0673	K05576
NSED_01305	K00338
NKOR_01245	K00337
NMSP_1431	K00333
NMSP_1433	K00331
NMSP_1434	K00330
NPIRD3C_0665	K24129
NADRNF5_1976	K18605
NPIRD3C_0663	K18603
NSED_01260	K18604
NSED_01250	K04800
NPIRD3C_0658	K01092
NSED_01235	K00528
NSED_01225	K02492
NSED_01215	K01755
NADRNF5_1989	K00240
NSED_01200	K00242
NPIRD3C_0649	K00241
NSED_01190	K00239
NADRNF5_1996	K03622
NADRNF5_1998	K00528
NADRNF5_2000	K00826
NSED_01150	K18855
NADRNF5_2002	K09791
NADRNF5_2005	K02851
NADRNF5_2006	K03726
NKOR_01055	K10726
NSED_01115	K09723
NPIRD3C_0632	K04801
NKOR_01030	K03264
NMSP_1476	K01892
NPIRD3C_0624	K24956
NKOR_00990	K03671
Nmar_0229	K03243
NADRNF5_2033	K00940
Nmar_0227	K02896
NKOR_00970	K02979
NADRNF5_2035	K02936
Nmar_0224	K15778
Nmar_0223	K01433
NSED_00935	K01470
NPIRD3C_0612	K04796
NADRNF5_2040	K01807
NKOR_00900	K01464
NADRNF5_2047	K03671
NSED_00845	K13280
NADRNF5_2050	K14534
NSED_00830	K18593
Nmar_0205	K03469
SU86_007620	K01430
NVIE_014910	K12255
NTE_02904	K03307
NTE_02911	K22447
SU86_007580	K00809
SU86_007575	K00809
NKOR_00795	K06196
NPIRD3C_0548	K02563
NADRNF5_2066	K00928
Nmar_0192	K00826
NKOR_00715	K02274
NKOR_00710	K02275
NADRNF5_2099	K15634
NADRNF5_2100	K06988
NPIRD3C_0524	K14260
NPIRD3C_0496	K00059
NMSP_0858	K02042
NPIRD3C_1493	K11785
NADRNF5_1381	K03234
NPIRD3C_1462	K03498
NSED_01080	K21138
NADRNF5_1308	K06863
NMSP_0728	K03186
NSED_04300	K03116
NKOR_04260	K03118
SU86_001730	K09807
NPIRD3C_1446	K23264
NADRNF5_1298	K23265
Nmar_0780	K23269
NADRNF5_1296	K00764
NKOR_04320	K01923
NPIRD3C_1427	K02933
NADRNF5_1276	K02994
NADRNF5_1275	K02954
NADRNF5_1274	K02931
Nmar_0798	K02987
NSED_04435	K02895
NADRNF5_1271	K02874
NSED_04445	K02961
NPIRD3C_1419	K03538
NADRNF5_1268	K02904
NPIRD3C_1417	K02982
NADRNF5_1266	K02890
Nmar_0806	K02965
Nmar_0807	K02892
NKOR_04445	K02930
NADRNF5_1262	K02906
NPIRD3C_1411	K09142
NMSP_0768	K03432
Nmar_0812	K09738
Nmar_0819	K00639
Nmar_0821	K01012
NPIRD3C_1380	K00833
NMSP_0785	K01935
NKOR_04550	K01641
NMSP_0789	K00150
NMSP_0790	K03699
NKOR_04595	K01733
NADRNF5_1223	K07068
NADRNF5_1222	K00626
NSED_04635	K00320
NADRNF5_1219	K00966
NADRNF5_1215	K01589
NKOR_04690	K01588
NKOR_04695	K01754
NADRNF5_1211	K01768
NADRNF5_1206	K01759
NMSP_0825	K00798
NSED_04730	K07023
Nmar_0868	K02434
NSED_04855	K02433
Nmar_0870	K02435
NKOR_04905	K09759
NADRNF5_1179	K06863
NDEV_1118	K07238
NPIRD3C_1516	K07159
NADRNF5_1163	K03722
NPIRD3C_1310	K01687
NADRNF5_1168	K02503
NADRNF5_1169	K03265
NKOR_06160	K00721
NPIRD3C_1269	K01657
NSED_05110	K01658
Nmar_0913	K00766
NADRNF5_1091	K01609
NADRNF5_1090	K01696
NKOR_05155	K01695
NADRNF5_1087	K01937
NSED_05145	K00858
NPIRD3C_1607	K01079
NMSP_1031	K12234
NADRNF5_1486	K04085
NSED_03500	K12339
NKOR_03450	K00384
NSED_03435	K22699
NADRNF5_1473	K00392
NADRNF5_1472	K01011
NPIRD3C_1578	K06944
NKOR_03530	K22223
NPIRD3C_1575	K01887
NKOR_03555	K07442
NPIRD3C_1555	K17758
SU86_006275	K15977
NADRNF5_1449	K03433
NADRNF5_1446	K00003
NPIRD3C_1549	K07305
Ngar_c33980	K05794
NPIRD3C_1545	K01895
NADRNF5_1437	K04799
NADRNF5_1420	K02034
Nmar_0719	K02033
NADRNF5_1408	K04564
NPIRD3C_0281	K03124
NSED_04040	K18285
NKOR_05430	K00053
NADRNF5_1006	K01849
NSED_05490	K13722
Nmar_0955	K07588
